Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A1V6F5Z0	unreviewed	Periplasmic heavy metal sensor	1852835	Candidatus Cloacimonetes bacterium ADurb.Bin088	235	PF13801	9..140
A0A1V6GP77	unreviewed	Periplasmic heavy metal sensor	1852866	Deltaproteobacteria bacterium ADurb.Bin072	159	PF13801	12..123
A0A1V6GSG0	unreviewed	Zinc resistance-associated protein	1852866	Deltaproteobacteria bacterium ADurb.Bin072	160	PF13801	9..134
A0A1V6HQT0	unreviewed	Periplasmic heavy metal sensor	1852786	Acidobacteria bacterium ADurb.Bin051	168	PF13801	5..142
A0A1V6HTK2	unreviewed	Periplasmic heavy metal sensor	1852786	Acidobacteria bacterium ADurb.Bin051	163	PF13801	13..138
A0A1V6I2P5	unreviewed	Periplasmic protein	1852798	Bacteroidetes bacterium ADurb.Bin028	161	PF13801	37..125
A0A1V6ID39	unreviewed	Zinc resistance protein	1852864	Deltaproteobacteria bacterium ADurb.Bin026	168	PF13801	27..131
A0A1V6JGP8	unreviewed	Periplasmic heavy metal sensor	1852795	Bacteroidetes bacterium ADurb.Bin008	191	PF13801	17..131
A0A1V6JGQ5	unreviewed	Periplasmic heavy metal sensor	1852795	Bacteroidetes bacterium ADurb.Bin008	173	PF13801	33..145
A0A1V6KHB9	unreviewed	Periplasmic heavy metal sensor	1852907	Spirochaetes bacterium ADurb.Bin001	187	PF13801	17..140
A0A1V6KI41	unreviewed	Periplasmic heavy metal sensor	1852907	Spirochaetes bacterium ADurb.Bin001	178	PF13801	94..170
A0A1V6KTH0	unreviewed	Periplasmic heavy metal sensor	95486	Burkholderia cenocepacia	167	PF13801	12..139
A0A1V8M9V5	unreviewed	Signaling pathway modulator ZraP	1420851	Methyloprofundus sedimenti	147	PF13801	12..130
A0A1V9UPQ0	unreviewed	Signaling pathway modulator ZraP	1943632	Pseudomonas sp. Bc-h	157	PF13801	14..138
A0A1W1HJH8	unreviewed	Zinc resistance-associated protein	1246637	Desulfamplus magnetovallimortis	200	PF13801	11..127
A0A1W1XDA5	unreviewed	Heavy-metal resistance	1121390	Desulfacinum hydrothermale DSM 13146	165	PF13801	10..136
A0A1W1XDE8	unreviewed	Heavy-metal resistance	1121390	Desulfacinum hydrothermale DSM 13146	147	PF13801	25..93
A0A1W1ZRR4	unreviewed	Zinc resistance-associated protein	1121400	Desulfocicer vacuolatum DSM 3385	176	PF13801	12..128
A0A1W2DJW9	unreviewed	Protein refolding chaperone Spy/CpxP family	1938756	Novosphingobium sp. B1	145	PF13801	8..128
A0A1W2DRR8	unreviewed	Periplasmic heavy metal sensor	1387277	Primorskyibacter flagellatus	171	PF13801	24..145
A0A1W2EF03	unreviewed	Heavy-metal resistance	1938756	Novosphingobium sp. B1	144	PF13801	11..129
A0A1W2EVL0	unreviewed	Heavy-metal resistance	1907415	Rhizobium sp. RU36D	151	PF13801	24..141
A0A1W6LDV7	unreviewed	Uncharacterized protein	946333	Piscinibacter gummiphilus	185	PF13801	18..155
A0A1W6NYI6	unreviewed	Integral membrane protein	92947	Ketogulonicigenium robustum	170	PF13801	18..144
A0A1W6YGJ8	unreviewed	Zinc resistance-associated protein	1416806	Bordetella genomosp. 8	170	PF13801	12..137
A0A1W6ZQZ2	unreviewed	Uncharacterized protein	1235591	Pseudorhodoplanes sinuspersici	147	PF13801	17..139
A0A1W6ZYJ5	unreviewed	Uncharacterized protein	1235591	Pseudorhodoplanes sinuspersici	196	PF13801	91..174
A0A1W6ZZK5	unreviewed	Uncharacterized protein	1235591	Pseudorhodoplanes sinuspersici	193	PF13801	33..174
A0A1W9GC28	unreviewed	Periplasmic heavy metal sensor	1827376	Nitrospira sp. SG-bin1	210	PF13801	16..147
A0A1W9GR24	unreviewed	Periplasmic heavy metal sensor	1827376	Nitrospira sp. SG-bin1	216	PF13801	44..156
A0A1W9GXX0	unreviewed	Periplasmic heavy metal sensor	1827378	Nitrospira sp. HN-bin3	220	PF13801	38..155
A0A1W9H876	unreviewed	Heavy metal resistance protein	1827382	Proteobacteria bacterium SG_bin5	148	PF13801	15..132
A0A1W9HRC5	unreviewed	Zinc resistance-associated protein	1827387	Proteobacteria bacterium SG_bin8	147	PF13801	17..135
A0A1W9JCS2	unreviewed	Zinc resistance-associated protein	1978760	Proteobacteria bacterium ST_bin12	180	PF13801	42..146
A0A1W9LC99	unreviewed	Signaling pathway modulator ZraP	1934247	Beggiatoa sp. IS2	232	PF13801	17..140
A0A1W9LDH0	unreviewed	Periplasmic heavy metal sensor	1934251	Verrucomicrobia bacterium A1	211	PF13801	13..140
A0A1W9LTU2	unreviewed	Zinc resistance-associated protein	1934250	Desulfobulbaceae bacterium A2	145	PF13801	6..110
A0A1W9M201	unreviewed	Periplasmic heavy metal sensor	1934250	Desulfobulbaceae bacterium A2	177	PF13801	41..149
A0A1W9M4Q0	unreviewed	Zinc resistance-associated protein	1934250	Desulfobulbaceae bacterium A2	153	PF13801	10..112
A0A1W9M5T9	unreviewed	Periplasmic heavy metal sensor	1934248	Desulfobacteraceae bacterium IS3	164	PF13801	8..129
A0A1W9MEW1	unreviewed	Zinc resistance-associated protein	1934250	Desulfobulbaceae bacterium A2	131	PF13801	4..120
A0A1W9MKS3	unreviewed	Periplasmic heavy metal sensor	1934250	Desulfobulbaceae bacterium A2	191	PF13801	36..163
A0A1W9MMJ6	unreviewed	Zinc resistance-associated protein	1934248	Desulfobacteraceae bacterium IS3	163	PF13801	6..123
A0A1W9MTP2	unreviewed	Periplasmic heavy metal sensor	1934248	Desulfobacteraceae bacterium IS3	153	PF13801	10..128
A0A1W9MV03	unreviewed	Periplasmic heavy metal sensor	1934248	Desulfobacteraceae bacterium IS3	160	PF13801	12..125
A0A1W9MZW7	unreviewed	Periplasmic heavy metal sensor	1934248	Desulfobacteraceae bacterium IS3	165	PF13801	15..130
A0A1W9P592	unreviewed	Periplasmic heavy metal sensor	1968529	Candidatus Aminicenantes bacterium 4484_214	181	PF13801	6..137
A0A1W9PMS8	unreviewed	Periplasmic heavy metal sensor	1968530	candidate division KSB1 bacterium 4484_219	147	PF13801	27..115
A0A1W9PZV0	unreviewed	Zinc resistance-associated protein	1968523	Desulfococcus sp. 4484_242	169	PF13801	9..131
A0A1W9Q2K4	unreviewed	Periplasmic heavy metal sensor	1968522	Desulfococcus sp. 4484_241	163	PF13801	10..133
A0A1W9Q870	unreviewed	Zinc resistance-associated protein	1970199	Sorangiineae bacterium NIC37A_2	154	PF13801	12..140
A0A1W9RI58	unreviewed	Periplasmic heavy metal sensor	1970771	Candidatus Latescibacteria bacterium 4484_7	188	PF13801	23..154
A0A1W9RQA4	unreviewed	Periplasmic heavy metal sensor	1970772	candidate division KSB1 bacterium 4484_87	184	PF13801	21..135
A0A1W9RRW4	unreviewed	Periplasmic heavy metal sensor	1970772	candidate division KSB1 bacterium 4484_87	162	PF13801	9..132
A0A1W9RWV4	unreviewed	Periplasmic heavy metal sensor	1970780	candidate division Zixibacteria bacterium 4484_93	167	PF13801	12..134
A0A1W9SH06	unreviewed	Periplasmic heavy metal sensor	1971636	candidate division KSB1 bacterium 4572_119	181	PF13801	13..135
A0A1W9SIH3	unreviewed	Periplasmic heavy metal sensor	1971636	candidate division KSB1 bacterium 4572_119	159	PF13801	9..130
A0A1W9SX80	unreviewed	Periplasmic heavy metal sensor	1971629	Desulfobacteraceae bacterium 4572_123	161	PF13801	13..138
A0A1W9T2T3	unreviewed	Periplasmic heavy metal sensor	1971629	Desulfobacteraceae bacterium 4572_123	143	PF13801	16..108
A0A1W9T9T4	unreviewed	Periplasmic heavy metal sensor	1971629	Desulfobacteraceae bacterium 4572_123	159	PF13801	11..131
A0A1W9U0D8	unreviewed	Zinc resistance-associated protein	1971620	Desulfobacteraceae bacterium 4572_187	181	PF13801	11..141
A0A1W9U7E9	unreviewed	Zinc-finger domain-containing protein	1971621	Desulfobacterium sp. 4572_20	211	PF13801	83..181
A0A1W9VUC8	unreviewed	Periplasmic heavy metal sensor	1972458	Candidatus Atribacteria bacterium 4572_76	180	PF13801	68..153
A0A1W9WQU0	unreviewed	Zinc resistance-associated protein	1972443	Desulfobacteraceae bacterium 4572_87	202	PF13801	35..155
A0A1W9X189	unreviewed	Signaling pathway modulator ZraP	1972449	Candidatus Parabeggiatoa sp. nov. 2	170	PF13801	16..140
A0A1W9XE39	unreviewed	Uncharacterized protein	1972444	Desulfobacteraceae bacterium 4572_88	273	PF13801	93..168
A0A1W9XEU2	unreviewed	Periplasmic heavy metal sensor	1972444	Desulfobacteraceae bacterium 4572_88	176	PF13801	6..141
A0A1X1PD94	unreviewed	Periplasmic heavy metal sensor	1904757	Burkholderia puraquae	183	PF13801	17..144
A0A1X1PNS7	unreviewed	Periplasmic heavy metal sensor	1904757	Burkholderia puraquae	167	PF13801	12..139
A0A1X3ELV0	unreviewed	Heavy-metal resistance	255045	Bradyrhizobium canariense	180	PF13801	72..159
A0A1X3HZ89	unreviewed	Zinc resistance-associated protein	656415	Escherichia coli M056	141	PF13801	8..120
A0A1X3ITL3	unreviewed	Zinc resistance-associated protein	656447	Escherichia coli TA447	141	PF13801	8..120
A0A1X3JAC1	unreviewed	Zinc resistance-associated protein	656397	Escherichia coli H386	141	PF13801	8..120
A0A1X4IV63	unreviewed	Periplasmic heavy metal sensor	1933035	Pseudoruegeria sp. SK021	171	PF13801	16..140
A0A1X6Y3W7	unreviewed	Heavy-metal resistance	396013	Pseudooceanicola marinus	195	PF13801	42..164
A0A1X6Y7X0	unreviewed	Periplasmic heavy metal sensor	505353	Roseovarius halotolerans	165	PF13801	22..145
A0A1X6Y8Z9	unreviewed	Periplasmic heavy metal sensor	1529041	Roseivivax jejudonensis	164	PF13801	18..149
A0A1X6YFL2	unreviewed	Periplasmic heavy metal sensor	1446476	Ruegeria meonggei	157	PF13801	18..137
A0A1X6YKN4	unreviewed	Periplasmic heavy metal sensor	1247867	Roseovarius albus	160	PF13801	22..144
A0A1X6YR12	unreviewed	Heavy-metal resistance	1356575	Roseovarius gaetbuli	176	PF13801	27..152
A0A1X7AGC0	unreviewed	Signaling pathway modulator ZraP	1960125	Parendozoicomonas haliclonae	169	PF13801	18..149
A0A1X7BMZ6	unreviewed	Periplasmic heavy metal sensor	475083	Roseovarius aestuarii	166	PF13801	22..145
A0A1X7C9R5	unreviewed	Zinc resistance-associated protein	1519643	Desulfovibrio gilichinskyi	167	PF13801	16..125
A0A1X7CQ48	unreviewed	Zinc resistance-associated protein	1519643	Desulfovibrio gilichinskyi	169	PF13801	12..111
A0A1X7E1Q4	unreviewed	Oxygen sensor histidine kinase NreB	28094	Trinickia caryophylli	343	PF13801	74..160
A0A1X7EAS6	unreviewed	Periplasmic heavy metal sensor	286727	Azospirillum oryzae	148	PF13801	16..140
A0A1X7FWH7	unreviewed	Signaling pathway modulator ZraP	1265486	Pseudomonas sp. LAMO17WK12:I1	161	PF13801	12..137
A0A1X7GZ67	unreviewed	Protein refolding chaperone Spy/CpxP family	28094	Trinickia caryophylli	175	PF13801	19..141
A0A1X7HRT0	unreviewed	Heavy-metal resistance	286727	Azospirillum oryzae	165	PF13801	27..148
A0A1X7KYD3	unreviewed	Heavy-metal resistance	1515439	Paraburkholderia susongensis	177	PF13801	10..138
A0A1X7LTL5	unreviewed	Zinc resistance-associated protein	1515439	Paraburkholderia susongensis	187	PF13801	12..137
A0A1X7N6N7	unreviewed	Heavy-metal resistance	1162418	Maritimibacter sp. HL-12	168	PF13801	24..151
A0A1X7P553	unreviewed	Protein refolding chaperone Spy/CpxP family	536018	Mesorhizobium australicum	183	PF13801	41..167
A0A1X7PSD8	unreviewed	Heavy-metal resistance	536018	Mesorhizobium australicum	130	PF13801	17..124
A0A1X9NFI1	unreviewed	Signaling pathway modulator ZraP	716816	Oceanicoccus sagamiensis	108	PF13801	3..78
A0A1X9YCY4	unreviewed	Heavy metal resistance protein	1030157	Sphingomonas sp. KC8	146	PF13801	12..131
A0A1X9YHP2	unreviewed	Heavy metal resistance protein	1030157	Sphingomonas sp. KC8	147	PF13801	13..132
A0A1Y0EDC8	unreviewed	Heavy-metal resistance	245188	Yoonia vestfoldensis	150	PF13801	19..138
A0A1Y0V5K1	unreviewed	Periplasmic heavy metal sensor	481146	Acetobacter ascendens	171	PF13801	7..136
A0A1Y0YBZ3	unreviewed	Periplasmic heavy metal sensor	481145	Acetobacter pasteurianus subsp. pasteurianus	171	PF13801	7..136
A0A1Y1BEI8	unreviewed	LTXXQ motif family protein	95485	Burkholderia stabilis	182	PF13801	15..143
A0A1Y1BTT9	unreviewed	Periplasmic heavy metal sensor	95485	Burkholderia stabilis	167	PF13801	12..139
A0A1Y1CHU4	unreviewed	Periplasmic heavy metal sensor	1717717	Labilibaculum antarcticum	301	PF13801	44..124
A0A1Y1CQY2	unreviewed	Periplasmic heavy metal sensor	1717717	Labilibaculum antarcticum	177	PF13801	15..140
A0A1Y1QQU7	unreviewed	Signaling pathway modulator ZraP	525917	Thiothrix lacustris	165	PF13801	34..120
A0A1Y1QVY8	unreviewed	Signaling pathway modulator ZraP	525917	Thiothrix lacustris	134	PF13801	5..89
A0A1Y1SHE7	unreviewed	Signaling pathway modulator ZraP	1317117	Oceanococcus atlanticus	154	PF13801	13..130
A0A1Y2K1S4	unreviewed	Periplasmic heavy metal sensor	1434232	Magnetofaba australis IT-1	183	PF13801	15..146
A0A1Y2QNF5	unreviewed	Heavy metal resistance protein	1985172	Sphingomonas sp. IBVSS2	146	PF13801	9..130
A0A1Y3FY32	unreviewed	Periplasmic heavy metal sensor	1670658	Acetobacter sp. DmW_043	162	PF13801	10..134
A0A1Y4CUF5	unreviewed	Periplasmic heavy metal sensor	1965618	Desulfovibrio sp. An276	177	PF13801	74..170
A0A1Y4D7I4	unreviewed	Periplasmic heavy metal sensor	1965618	Desulfovibrio sp. An276	193	PF13801	100..186
A0A1Y5EDC6	unreviewed	Zinc resistance-associated protein	1856292	Alphaproteobacteria bacterium 46_93_T64	167	PF13801	15..137
A0A1Y5EFZ5	unreviewed	Signaling pathway modulator ZraP	28229	Colwellia psychrerythraea	152	PF13801	23..119
A0A1Y5ERJ7	unreviewed	Signaling pathway modulator ZraP	1856281	Cycloclasticus sp. 46_120_T64	136	PF13801	33..122
A0A1Y5GPB9	unreviewed	Signaling pathway modulator ZraP	1856297	Gammaproteobacteria bacterium 45_16_T64	146	PF13801	14..129
A0A1Y5HQ22	unreviewed	RNA polymerase subunit sigma-70	1856299	Rhodobacterales bacterium 56_14_T64	160	PF13801	19..138
A0A1Y5HXV6	unreviewed	Signaling pathway modulator ZraP	188908	Oleispira antarctica	152	PF13801	17..140
A0A1Y5I510	unreviewed	RNA polymerase subunit sigma-24	70448	Ostreococcus tauri	269	PF13801	2..78
A0A1Y5JWR3	unreviewed	Signaling pathway modulator ZraP	1967839	Pseudoalteromonas sp. A601	177	PF13801	18..143
A0A1Y5PR43	unreviewed	Heavy metal resistance protein	310581	uncultured Sphingopyxis sp.	146	PF13801	14..130
A0A1Y5RUC4	unreviewed	Periplasmic heavy metal sensor	1312363	Roseovarius litorisediminis	168	PF13801	23..146
A0A1Y5RUW4	unreviewed	Periplasmic heavy metal sensor	1391910	Pseudooctadecabacter jejudonensis	181	PF13801	23..144
A0A1Y5S239	unreviewed	Periplasmic heavy metal sensor	254357	Roseisalinus antarcticus	161	PF13801	16..138
A0A1Y5SGK0	unreviewed	Periplasmic heavy metal sensor	1519096	Aquimixticola soesokkakensis	206	PF13801	34..161
A0A1Y5SJJ6	unreviewed	Periplasmic heavy metal sensor	658057	Pacificibacter marinus	185	PF13801	30..158
A0A1Y5SU74	unreviewed	Zinc resistance-associated protein	745714	Oceanibacterium hippocampi	154	PF13801	15..136
A0A1Y5SXH7	unreviewed	Periplasmic heavy metal sensor	1200284	Falsiruegeria litorea R37	154	PF13801	18..138
A0A1Y5T2N5	unreviewed	Periplasmic heavy metal sensor	315423	Palleronia marisminoris	148	PF13801	16..134
A0A1Y5TBW7	unreviewed	Periplasmic heavy metal sensor	393663	Pseudoruegeria aquimaris	168	PF13801	25..150
A0A1Y6B9M3	unreviewed	Protein refolding chaperone Spy/CpxP family	560819	Tistlia consotensis USBA 355	165	PF13801	14..133
A0A1Y6BCE8	unreviewed	Heavy-metal resistance	560819	Tistlia consotensis USBA 355	177	PF13801	18..148
A0A1Y6FNL7	unreviewed	Heavy-metal resistance	1316679	Altererythrobacter xiamenensis	144	PF13801	10..127
A0A1Z3U6U7	unreviewed	Periplasmic heavy metal sensor	41276	Brevundimonas vesicularis	170	PF13801	12..139
A0A1Z3U7M3	unreviewed	Heavy metal resistance protein	41276	Brevundimonas vesicularis	146	PF13801	14..130
A0A1Z5I7Z0	unreviewed	Signaling pathway modulator ZraP	1513592	Colwellia marinimaniae	153	PF13801	22..121
A0A1Z5SE64	unreviewed	Periplasmic heavy metal sensor	1985173	Chitinophagaceae bacterium IBVUCB1	161	PF13801	14..134
A0A1Z5YXP0	unreviewed	Periplasmic heavy metal sensor	146475	Acetobacter cibinongensis	175	PF13801	10..119
A0A1Z8A9W1	unreviewed	Periplasmic heavy metal sensor	1856301	Rhodobacterales bacterium 52_120_T64	160	PF13801	22..144
A0A1Z8KX15	unreviewed	Periplasmic heavy metal sensor	1986633	Micavibrio sp. TMED2	159	PF13801	30..149
A0A1Z8MYB7	unreviewed	Signaling pathway modulator ZraP	1986745	Cellvibrionales bacterium TMED21	156	PF13801	12..128
A0A1Z8Q115	unreviewed	Periplasmic heavy metal sensor	1986607	Micavibrio sp. TMED27	231	PF13801	17..128
A0A1Z8Q4K7	unreviewed	Heavy metal resistance protein	1986607	Micavibrio sp. TMED27	151	PF13801	15..135
A0A1Z8Q4R0	unreviewed	Periplasmic heavy metal sensor	1986607	Micavibrio sp. TMED27	161	PF13801	20..138
A0A1Z8Q4T2	unreviewed	Periplasmic heavy metal sensor	1986607	Micavibrio sp. TMED27	179	PF13801	37..156
A0A1Z8RLL0	unreviewed	Signaling pathway modulator ZraP	1986761	Gammaproteobacteria bacterium TMED34	163	PF13801	13..134
A0A1Z9GHE5	unreviewed	Periplasmic heavy metal sensor	1986849	Rhizobiales bacterium TMED143	160	PF13801	17..144
A0A1Z9J416	unreviewed	Zinc resistance-associated protein	1986863	Rhodospirillaceae bacterium TMED167	163	PF13801	15..136
A0A1Z9SZ20	unreviewed	Signaling pathway modulator ZraP	1986755	Gammaproteobacteria bacterium TMED260	190	PF13801	13..134
A0A1Z9YDA0	unreviewed	Zinc resistance-associated protein	1986776	Hyphomonadaceae bacterium TMED5	213	PF13801	15..149
A0A200NUR3	unreviewed	Zinc resistance-associated protein	623	Shigella flexneri	141	PF13801	8..120
A0A202DLZ5	unreviewed	Periplasmic heavy metal sensor	1932698	bacterium F11	181	PF13801	17..136
A0A208ZPK1	unreviewed	Zinc resistance-associated protein	631	Yersinia intermedia	149	PF13801	9..118
A0A210W0J0	unreviewed	NAD+ synthetase	1472718	Delftia sp. K82	105	PF13801	1..90
A0A210W7A5	unreviewed	Periplasmic heavy metal sensor	1472718	Delftia sp. K82	187	PF13801	23..165
A0A211Z2L0	unreviewed	Periplasmic heavy metal sensor	171674	Inquilinus limosus	142	PF13801	12..130
A0A212AFU8	unreviewed	Periplasmic heavy metal sensor	366618	Haematobacter genomosp. 1	157	PF13801	19..136
A0A212IAT9	unreviewed	Zinc resistance-associated protein	200446	uncultured Citrobacter sp.	147	PF13801	7..122
A0A212IV32	unreviewed	Putative Zinc resistance-associated protein	167968	uncultured Desulfovibrio sp.	192	PF13801	37..135
A0A212JCW5	unreviewed	Zinc resistance-associated protein	167968	uncultured Desulfovibrio sp.	201	PF13801	16..137
A0A212JLI0	unreviewed	Zinc resistance-associated protein	167968	uncultured Desulfovibrio sp.	153	PF13801	34..121
A0A212JLJ7	unreviewed	Zinc resistance-associated protein	167968	uncultured Desulfovibrio sp.	164	PF13801	12..131
A0A212JZ20	unreviewed	Zinc resistance-associated protein	34034	uncultured delta proteobacterium	161	PF13801	11..113
A0A212LHF3	unreviewed	Putative membrane-associated protein	442121	uncultured Pleomorphomonas sp.	147	PF13801	7..127
A0A212LJ41	unreviewed	Methyl-accepting chemotaxis protein	442121	uncultured Pleomorphomonas sp.	160	PF13801	22..145
A0A212PVZ5	unreviewed	Heavy-metal resistance	1963835	Arboricoccus pini	148	PF13801	12..138
A0A212QDX4	unreviewed	Signaling pathway modulator ZraP	1761794	Marinobacter sp. es.042	154	PF13801	5..122
A0A217EYN6	unreviewed	Heavy metal resistance protein	450378	Croceicoccus marinus	146	PF13801	13..130
A0A218PQ46	unreviewed	Putative membrane-associated protein	113574	Hyphomicrobium sp. GJ21	172	PF13801	22..140
A0A219B7J2	unreviewed	Heavy metal resistance protein	1234595	Pacificimonas flava	144	PF13801	10..127
A0A220WA17	unreviewed	Nickel and cobalt resistance protein CnrR	2584094	Sphingorhabdus sp. SMR4y	145	PF13801	10..130
A0A221K1K3	unreviewed	Heavy-metal resistance	1402135	Pseudosulfitobacter pseudonitzschiae	167	PF13801	22..144
A0A222EA79	unreviewed	Heavy-metal resistance	74033	Antarctobacter heliothermus	180	PF13801	21..143
A0A222EVX1	unreviewed	Periplasmic heavy metal sensor	192812	Qipengyuania flava	144	PF13801	9..127
A0A222FAK3	unreviewed	Periplasmic heavy metal sensor	2021862	Labrenzia sp. VG12	203	PF13801	102..184
A0A222SH87	unreviewed	Periplasmic heavy metal sensor	281093	Prosthecochloris sp. GSB1	186	PF13801	17..143
A0A222SHQ2	unreviewed	Periplasmic heavy metal sensor	281093	Prosthecochloris sp. GSB1	199	PF13801	56..178
A0A223GVS0	unreviewed	Periplasmic heavy metal sensor	1310165	Ralstonia pseudosolanacearum	175	PF13801	40..150
A0A223UJ99	unreviewed	Zinc resistance-associated protein	2026240	Klebsiella quasivariicola	145	PF13801	6..124
A0A223VVK8	unreviewed	Signaling pathway modulator ZraP	2025658	Pseudomonas sp. NS1(2017)	164	PF13801	12..136
A0A225CU18	unreviewed	Periplasmic heavy metal sensor	366616	Haematobacter missouriensis	157	PF13801	19..136
A0A225ND38	unreviewed	Heavy-metal resistance	1679460	Marinibacterium profundimaris	162	PF13801	23..140
A0A226WPK7	unreviewed	Integral membrane protein	196367	Caballeronia sordidicola	157	PF13801	14..137
A0A226X5D3	unreviewed	ATPase involved in DNA repair	196367	Caballeronia sordidicola	193	PF13801	40..150
A0A228HJ00	unreviewed	Periplasmic heavy metal sensor	2015347	Burkholderia sp. AU16741	167	PF13801	12..139
A0A228HSL3	unreviewed	Periplasmic heavy metal sensor	2015347	Burkholderia sp. AU16741	184	PF13801	15..144
A0A228IB10	unreviewed	Periplasmic heavy metal sensor	2015348	Burkholderia aenigmatica	167	PF13801	12..139
A0A228IUU8	unreviewed	Periplasmic heavy metal sensor	2015348	Burkholderia aenigmatica	183	PF13801	15..144
A0A228JQ82	unreviewed	Periplasmic heavy metal sensor	2015351	Burkholderia sp. AU27893	167	PF13801	12..139
A0A228K280	unreviewed	Periplasmic heavy metal sensor	2015351	Burkholderia sp. AU27893	183	PF13801	15..144
A0A228Q8K7	unreviewed	Periplasmic heavy metal sensor	2015360	Burkholderia sp. HI2761	167	PF13801	12..139
A0A228QM81	unreviewed	Periplasmic heavy metal sensor	2015360	Burkholderia sp. HI2761	184	PF13801	15..144
A0A228QTD5	unreviewed	Periplasmic heavy metal sensor	2015359	Burkholderia sp. HI2714	167	PF13801	12..139
A0A228R350	unreviewed	Periplasmic heavy metal sensor	2015359	Burkholderia sp. HI2714	183	PF13801	15..144
A0A229EBK6	unreviewed	Zinc resistance-associated protein	562	Escherichia coli	139	PF13801	8..120
A0A234G4X5	unreviewed	Zinc resistance-associated protein	562	Escherichia coli	139	PF13801	8..121
A0A235BQB1	unreviewed	Periplasmic heavy metal sensor	1973748	candidate division WOR-3 bacterium JGI_Cruoil_03_44_89	184	PF13801	13..141
A0A235BV24	unreviewed	Periplasmic heavy metal sensor	1973747	candidate division WOR-3 bacterium JGI_Cruoil_03_51_56	167	PF13801	8..127
A0A235H8A4	unreviewed	Periplasmic heavy metal sensor	192	Azospirillum brasilense	169	PF13801	35..160
A0A237FY27	unreviewed	Zinc resistance-associated protein	621	Shigella boydii	141	PF13801	8..120
A0A238J0G3	unreviewed	Periplasmic heavy metal sensor	1470561	Boseongicola aestuarii	159	PF13801	18..144
A0A238JHS9	unreviewed	Heavy-metal resistance	1037362	Pelagimonas phthalicica	167	PF13801	20..143
A0A238JR86	unreviewed	Periplasmic heavy metal sensor	1524263	Actibacterium lipolyticum	169	PF13801	22..147
A0A238K2Y8	unreviewed	Periplasmic heavy metal sensor	1655543	Octadecabacter ascidiaceicola	160	PF13801	18..139
A0A238KFW9	unreviewed	Periplasmic heavy metal sensor	696760	Pelagimonas varians	166	PF13801	20..143
A0A238L059	unreviewed	Periplasmic heavy metal sensor	1173585	Ruegeria arenilitoris	156	PF13801	18..135
A0A238L351	unreviewed	Integral membrane protein	1673631	Maliponia aquimaris	172	PF13801	21..143
A0A238LGT1	unreviewed	Periplasmic heavy metal sensor	1819565	Flavimaricola marinus	169	PF13801	22..144
A0A238Y1Z6	unreviewed	Heavy-metal resistance	1608407	Puniceibacterium sediminis	164	PF13801	18..142
A0A238YWA6	unreviewed	Zinc resistance-associated protein	147047	Humidesulfovibrio mexicanus	164	PF13801	9..103
A0A238Z412	unreviewed	Heavy-metal resistance	147047	Humidesulfovibrio mexicanus	189	PF13801	36..127
A0A239AFT4	unreviewed	Protein refolding chaperone Spy/CpxP family	551994	Methylobacillus rhizosphaerae	170	PF13801	48..150
A0A239CPC3	unreviewed	Protein refolding chaperone Spy/CpxP family	474952	Granulicella rosea	201	PF13801	43..150
A0A239D3V2	unreviewed	Heavy-metal resistance	1907313	Azospirillum sp. RU38E	176	PF13801	14..129
A0A239DN55	unreviewed	Heavy-metal resistance	1500549	Belliella buryatensis	256	PF13801	34..123
A0A239EVL6	unreviewed	Heavy-metal resistance	1031541	Tropicimonas sediminicola	187	PF13801	27..152
A0A239G0Z3	unreviewed	Heavy-metal resistance	861865	Sphingomonas laterariae	147	PF13801	14..132
A0A239G6K5	unreviewed	Heavy-metal resistance	1907313	Azospirillum sp. RU38E	195	PF13801	13..148
A0A239HNV8	unreviewed	Protein refolding chaperone Spy/CpxP family	1688639	Noviherbaspirillum humi	178	PF13801	13..153
A0A239LED2	unreviewed	Heavy-metal resistance	74033	Antarctobacter heliothermus	180	PF13801	21..142
A0A239PT64	unreviewed	Heavy-metal resistance	1519374	Amphiplicatus metriothermophilus	175	PF13801	16..144
A0A239S6S7	unreviewed	Periplasmic protein	93222	Pandoraea sputorum	189	PF13801	11..143
A0A240TRX0	unreviewed	Uncharacterized protein	553814	Acidovorax carolinensis	157	PF13801	13..135
A0A240UD86	unreviewed	Zinc resistance-associated protein	553814	Acidovorax carolinensis	157	PF13801	13..135
A0A242MBA8	unreviewed	ATPase involved in DNA repair	196367	Caballeronia sordidicola	197	PF13801	48..156
A0A242MGW6	unreviewed	Periplasmic heavy metal sensor	196367	Caballeronia sordidicola	157	PF13801	14..137
A0A242N4N9	unreviewed	ATPase involved in DNA repair	196367	Caballeronia sordidicola	197	PF13801	48..156
A0A243P8A9	unreviewed	Heavy metal resistance protein	1987165	Sphingobium sp. GW456-12-10-14-TSB1	146	PF13801	11..130
A0A243PCY8	unreviewed	Heavy metal resistance protein	1987165	Sphingobium sp. GW456-12-10-14-TSB1	146	PF13801	11..130
A0A243PHT8	unreviewed	Heavy metal resistance protein	1987165	Sphingobium sp. GW456-12-10-14-TSB1	146	PF13801	10..131
A0A243PKK0	unreviewed	Heavy metal resistance protein	1987165	Sphingobium sp. GW456-12-10-14-TSB1	146	PF13801	12..131
